id,Date,State,Total Confirmed Cases,Total Deaths
473,Sun 10/11,New Mexico,32983,911
474,Sun 10/11,New York,479013,32879
475,Sun 10/11,North Carolina,231564,3791
476,Sun 10/11,North Dakota,27269,343
477,Sun 10/11,Northern Mariana Islands,77,2
478,Sun 10/11,Ohio,168749,4999
479,Sun 10/11,Oklahoma,99387,1098
480,Sun 10/11,Oregon,37263,600
481,Sun 10/11,Pennsylvania,176820,8426
482,Sun 10/11,Puerto Rico,53671,730
483,Sun 10/11,Rhode Island,26294,1130
484,Sun 10/11,South Carolina,157406,3552
485,Sun 10/11,South Dakota,28564,286
486,Sun 10/11,Tennessee,211426,2738
487,Sun 10/11,Texas,832750,17047
488,Sun 10/11,Utah,85844,518
489,Sun 10/11,Vermont,1868,58
490,Sun 10/11,Virgin Islands,1325,20
491,Sun 10/11,Virginia,158716,3358
492,Sun 10/11,Washington,97527,2289
493,Sun 10/11,West Virginia,18128,382
494,Sun 10/11,Wisconsin,158426,1477
495,Sun 10/11,Wyoming,7611,54
496,Mon 10/12,Alabama,166076,2665
497,Mon 10/12,Alaska,10805,56
498,Mon 10/12,Arizona,226072,5759
499,Mon 10/12,Arkansas,93487,1586
500,Mon 10/12,California,859959,16594
501,Mon 10/12,Colorado,79499,2144
502,Mon 10/12,Connecticut,61377,4532
503,Mon 10/12,Delaware,22289,656
504,Mon 10/12,District of Columbia,16022,637
505,Mon 10/12,Florida,736016,15411
506,Mon 10/12,Georgia,339577,7259
507,Mon 10/12,Guam,4139,61
508,Mon 10/12,Hawaii,13675,168
509,Mon 10/12,Idaho,48663,511
510,Mon 10/12,Illinois,325755,9258
511,Mon 10/12,Indiana,138933,3795
512,Mon 10/12,Iowa,100451,1481
513,Mon 10/12,Kansas,69158,774
514,Mon 10/12,Kentucky,83074,1300
515,Mon 10/12,Louisiana,174647,5669
516,Mon 10/12,Maine,5752,143
517,Mon 10/12,Maryland,132357,4003
518,Mon 10/12,Massachusetts,139663,9617
519,Mon 10/12,Michigan,151284,7227
520,Mon 10/12,Minnesota,113492,2197
521,Mon 10/12,Mississippi,105228,3101
522,Mon 10/12,Missouri,149460,2484
523,Mon 10/12,Montana,19205,212
524,Mon 10/12,Nebraska,52839,529
525,Mon 10/12,Nevada,86433,1670
526,Mon 10/12,New Hampshire,9208,456
527,Mon 10/12,New Jersey,215885,16175
528,Mon 10/12,New Mexico,33362,915
529,Mon 10/12,New York,480045,32896
530,Mon 10/12,North Carolina,233059,3799
531,Mon 10/12,North Dakota,27742,350
532,Mon 10/12,Northern Mariana Islands,77,2
533,Mon 10/12,Ohio,170179,5005
534,Mon 10/12,Oklahoma,100184,1104
535,Mon 10/12,Oregon,37472,600
536,Mon 10/12,Pennsylvania,177844,8444
537,Mon 10/12,Puerto Rico,54234,735
538,Mon 10/12,Rhode Island,26294,1130
539,Mon 10/12,South Carolina,158055,3559
540,Mon 10/12,South Dakota,28925,288
541,Mon 10/12,Tennessee,214245,2745
542,Mon 10/12,Texas,836807,17073
543,Mon 10/12,Utah,86879,524
544,Mon 10/12,Vermont,1876,58
545,Mon 10/12,Virgin Islands,1325,20
546,Mon 10/12,Virginia,159570,3361
547,Mon 10/12,Washington,98265,2292
548,Mon 10/12,West Virginia,18281,385
549,Mon 10/12,Wisconsin,160655,1488
550,Mon 10/12,Wyoming,7802,54
551,Tue 10/13,Alabama,167193,2665
552,Tue 10/13,Alaska,10960,56
553,Tue 10/13,Arizona,226749,5767
554,Tue 10/13,Arkansas,94167,1611
555,Tue 10/13,California,863614,16650
556,Tue 10/13,Colorado,80414,2181
557,Tue 10/13,Connecticut,61697,4533
558,Tue 10/13,Delaware,22394,659
559,Tue 10/13,District of Columbia,16068,637
560,Tue 10/13,Florida,738741,15530
561,Tue 10/13,Georgia,340758,7282
562,Tue 10/13,Guam,4235,62
563,Tue 10/13,Hawaii,13736,172
564,Tue 10/13,Idaho,49987,514
565,Tue 10/13,Illinois,329160,9288
566,Tue 10/13,Indiana,140505,3822
567,Tue 10/13,Iowa,101531,1491
568,Tue 10/13,Kansas,69392,786
569,Tue 10/13,Kentucky,83967,1318
570,Tue 10/13,Louisiana,175329,5679
571,Tue 10/13,Maine,5780,143
572,Tue 10/13,Maryland,132839,4012
573,Tue 10/13,Massachusetts,140412,9630
574,Tue 10/13,Michigan,152842,7257
575,Tue 10/13,Minnesota,114627,2204
576,Tue 10/13,Mississippi,105941,3115
577,Tue 10/13,Missouri,150496,2495
578,Tue 10/13,Montana,19682,217
579,Tue 10/13,Nebraska,53543,533
580,Tue 10/13,Nevada,86970,1677
581,Tue 10/13,New Hampshire,9279,456
582,Tue 10/13,New Jersey,216873,16182
583,Tue 10/13,New Mexico,33713,918
584,Tue 10/13,New York,481436,32905
585,Tue 10/13,North Carolina,234842,3849
586,Tue 10/13,North Dakota,28250,362
587,Tue 10/13,Northern Mariana Islands,77,2
588,Tue 10/13,Ohio,171626,5017
589,Tue 10/13,Oklahoma,101493,1119
590,Tue 10/13,Oregon,37788,605
591,Tue 10/13,Pennsylvania,179673,8458
592,Tue 10/13,Puerto Rico,54540,738
593,Tue 10/13,Rhode Island,26960,1139
594,Tue 10/13,South Carolina,158883,3576
595,Tue 10/13,South Dakota,29339,288
596,Tue 10/13,Tennessee,215423,2768
597,Tue 10/13,Texas,842316,17165
598,Tue 10/13,Utah,87825,524
599,Tue 10/13,Vermont,1886,58
600,Tue 10/13,Virgin Islands,1328,20
601,Tue 10/13,Virginia,160805,3372
602,Tue 10/13,Washington,99311,2311
603,Tue 10/13,West Virginia,18555,387
604,Tue 10/13,Wisconsin,164137,1521
605,Tue 10/13,Wyoming,7964,57
606,Wed 10/14,Alabama,167977,2706
607,Wed 10/14,Alaska,11103,60
608,Wed 10/14,Arizona,227660,5772
609,Wed 10/14,Arkansas,95246,1634
610,Wed 10/14,California,867094,16752
611,Wed 10/14,Colorado,81205,2186
612,Wed 10/14,Connecticut,61861,4537
613,Wed 10/14,Delaware,22465,660
614,Wed 10/14,District of Columbia,16132,638
615,Wed 10/14,Florida,741624,15594
616,Wed 10/14,Georgia,342302,7298
617,Wed 10/14,Guam,4310,62
618,Wed 10/14,Hawaii,13834,182
619,Wed 10/14,Idaho,50534,520
620,Wed 10/14,Illinois,332124,9335
621,Wed 10/14,Indiana,141670,3836
622,Wed 10/14,Iowa,102905,1505
623,Wed 10/14,Kansas,70665,838
624,Wed 10/14,Kentucky,85278,1325
625,Wed 10/14,Louisiana,176209,5695
626,Wed 10/14,Maine,5816,143
627,Wed 10/14,Maryland,133413,4022
628,Wed 10/14,Massachusetts,140992,9647
629,Wed 10/14,Michigan,154409,7270
630,Wed 10/14,Minnesota,115996,2233
631,Wed 10/14,Mississippi,106817,3140
632,Wed 10/14,Missouri,154213,2598
633,Wed 10/14,Montana,20321,225
634,Wed 10/14,Nebraska,54467,536
635,Wed 10/14,Nevada,87527,1694
636,Wed 10/14,New Hampshire,9349,458
637,Wed 10/14,New Jersey,217812,16191
638,Wed 10/14,New Mexico,34290,921
639,Wed 10/14,New York,482671,32916
640,Wed 10/14,North Carolina,236812,3882
641,Wed 10/14,North Dakota,28952,370
642,Wed 10/14,Northern Mariana Islands,77,2
643,Wed 10/14,Ohio,173665,5033
644,Wed 10/14,Oklahoma,102615,1132
645,Wed 10/14,Oregon,38175,609
646,Wed 10/14,Pennsylvania,180956,8481
647,Wed 10/14,Puerto Rico,55516,742
648,Wed 10/14,Rhode Island,27164,1147
649,Wed 10/14,South Carolina,159809,3593
650,Wed 10/14,South Dakota,30215,291
651,Wed 10/14,Tennessee,217140,2801
652,Wed 10/14,Texas,848168,17276
653,Wed 10/14,Utah,89018,529
654,Wed 10/14,Vermont,1889,58
655,Wed 10/14,Virgin Islands,1328,20
656,Wed 10/14,Virginia,161610,3381
